5.117106 0.000000
-468.775995 -353.870027
44671.363487 13229.621183
-4176123.864257 790130.157941
382417562.609242 -276718192.820510
-34213348885.107632 45792457661.559563
2978014406372.437500 -6202104287810.879883
-250478160836554.906250 761644879815298.500000
20121532313206648.000000 -88079564098789680.000000
-1510402690670814208.000000 9767270030894678016.000000
100938303726810578944.000000 -1048988717065182117888.000000
-5183678972866552922112.000000 109759648690775493967872.000000
45912319938988672548864.000000 -11230049191969563483308032.000000
40026502295051849330327552.000000 1126073865437657548732760064.000000
-8133773214004011005336616960.000000 -110802916243715369587290669056.000000
1187642301933978489768913141760.000000 10704188223930137771926135767040.000000
-151833205109504087146647707975680.000000 -1015065748572724581074578368888832.000000
18018003737166283590181660443803648.000000 94401805528202524978660902566887424.000000
-2035488467383621551824577296078995456.000000 -8594980534161707804120453016104992768.000000
221791005282687734877812730559895437312.000000 763850926752204327571760989645496647680.000000
-23486174165160829119887735624208354377728.000000 -65949407101828939785798042494472506310656.000000
2428150092993727807335121531396718204026880.000000 5488679996314517332431106896439127496982528.000000
-245796813806848499376576308204128358142836736.000000 -434389638957443500945032218130981540738367488.000000
24403721184451402775828963696580600202595926016.000000 31840874426304027396508399514914117392279797760.000000
-2378412068286832542138570922845028209189049073664.000000 -2031680675179587308815157648380630142632325021696.000000
227578773910622150515401454418093395745953193918464.000000 90767802198675661011260314107213581951076961091584.000000
-21367424976688330840730977597392053121841062851117056.000000 1686527943520056383259736460813903712449842930253824.000000
1965953209472811532100909133678304207224792236454576128.000000 -1180036922292126355058456735138126422117029585038082048.000000
-176841838577036461682592613172310229244015670154785456128.000000 211139913210523927514737067929837107281010820754184339456.000000
15493467735650453994149750594661557084814803654376987557888.000000 -29500177952989842707114431308347272830820626156133126504448.000000
-1314048434623377733477428887106238434783088755633505307721728.000000 3685626260230328543079317289521180838641678728398664301019136.000000
106783019576173919474785003040042085665716456705863806619746304.000000 -431046275990705633999836776979522858960943420523148459286462464.000000
-8158971632997052982154769895672354832085836938221088821882126336.000000 48192708796901787353068921611005729297890957652656272116553875456.000000
